ambigous_result,genre,name,no_result,origin
1,,Napoleon,0,
0,alternative emo,Being As An Ocean,0,
0,classify,Richard Clayderman,0,
0,art rock,Pineapple Thief,0,
0,,Beady Belle ZÜRICH,1,
0,,Mick Hucknall,0,
0,,Mick Hucknall ZÜRICH,1,
0,,Carmen Vv ZÜRICH,1,
0,,Pineapple Thief PRATTELN,1,
1,,Watchtower,0,
0,,In The Name of Love,0,
0,,Sleepless Night,0,
0,,Five Days One Summer,1,
1,,Hermano,0,
0,,Dans leau... qui fait des bulles,1,
1,,Thorberg,0,
0,,Courts métrages 3,1,
0,,Infancia Clandestina,1,
0,,Troy von Balthazar,0,
0,deep german pop rock,Max Herre,0,
0,,Absolut Trio,0,
0,,C'est pas moi,1,
0,,je le jure,1,
0,,Beasts of the Southern Wild,1,
0,,Your Time Is Up,1,
0,,Quartier Mozart,1,
0,,Courts métrages 1,1,
0,,Ararat,0,
0,,Satellite Boy,1,
1,,As One,0,
1,,Bully,0,
0,,Chroniques d'une cour de récré,1,
0,,Le Voyage en Arménie,1,
0,,Mazine Rebellion Tour 2013,1,
0,black thrash,Kvelertak,0,
0,,El Doom & The Born Electric,0,
1,,Gideon,0,
0,,Here Lies a Warning,1,
0,deep surf music,Fathoms,0,
0,,Hoffmanns Erzählungen WINTERTHUR,1,
0,,Vinicio Capossela ZÜRICH,1,
0,,Raúl Midón ZÜRICH,1,
0,,The Jeff Hamilton Trio ZÜRICH,1,
0,bossa nova,Hermeto Pascoal,0,
0,,Group ZÜRICH,1,
1,,Aguirre,0,
0,,Der Zorn Gottes,1,
0,,Jeremiah Johnson,0,
0,,Dersu Uzala,0,
0,,After The Curfew,1,
1,,LES CHOEURS DE L'ARMEE ROUGE,0,
0,,Downpour,0,
0,,Kalpana,0,
0,armenian folk,Sayat Nova,0,
0,belorush,Postscriptum,0,
1,,Television,0,
0,czech rock,Here,0,
0,,Comme un lion,1,
0,belgian rock,Trixie Whitley,0,
0,,Wunder BASEL,1,
0,,Mattis Bigbeat,1,
0,,Les Sauterelles ZÜRICH,1,
0,,Kopek,0,
0,swiss hip hop,Büne Huber,0,
0,,Ritschi ZÜRICH,1,
0,,The Radio R.A.T. Misery Hour,1,
0,,DJ Akrobat,1,
0,italian indie pop,Aedi,0,
0,,Wadjda,1,
0,,140 Drams,1,
0,,Calendar,0,
0,,The Housemaid,1,
0,,Road under the Skies,1,
0,,Three Sisters,0,
0,,The Taste of Money,1,
0,,The Road,0,
0,,The We and the I,1,
0,,ANiMAL,0,
1,,Corneille,0,
0,french indie pop,IMANY,0,
0,,FANNY LEEB,0,
0,,Lenox,0,
1,,Max Emanuel Cencic,0,
0,,Contre,0,
0,alternative dance,Totally Enormous Extinct Dinosaurs,0,
0,minimal wave,Frank Alpine,0,
0,popgaze,Peepholes,0,
0,brooklyn indie,Psychic Ills,0,
0,folk-pop,Of Monsters and Men,0,
0,classic icelandic pop,Mugison,0,
0,,Country Heart Band,1,
0,,Michelle Ryser,0,
0,schlager,Tom Astor,0,
0,,Dianne Reeves BASEL,1,
0,adult standards,Dianne Reeves,0,
0,,Dire Strats,0,
0,,Baba Zula ZÜRICH,1,
0,,Epic Epileptic,1,
0,,MTDF,1,
0,,Davide Lezzi,0,
0,,Bunny Covers,1,
0,,EUGENIO FINARDI official fan page,1,
0,,Moneyball,1,
1,,Goon,0,
1,,One More...,0,
0,mexican rock-and-roll,HELENO,0,
0,,Machan,0,
0,,Storm Surfers 3D,1,
0,,Looking for Istanbul,1,
0,,Looking for Buenos Aires,1,
1,,Endurance,0,
0,,The Iron Ladies,1,
0,,One Hour Before Breakfast,1,
0,deep dance pop,BAPTISTE GIABICONI,0,
0,,Sorel,0,
0,,DANIEL ARMAND,0,
0,chanson,Isabelle Boulay,0,
0,chanson,Alain Chamfort,0,
0,chanson,Jérémie Kisling,0,
0,,MAGOA,0,
0,,Aidan Carroll,0,
0,,Dianne Reeves NEUCHÂTEL,1,
0,deep gothic post-punk,Egyptian Hip Hop,0,
