ambigous_result,genre,name,no_result,origin
0,,FP2C,1,
0,,FP5B,1,
0,,L9C,1,
1,,Bob,0,
0,,Soul Potion,1,
1,,Light Fever,0,
0,,Chor Amazonas on tour,1,
0,,90th birthday Gala,1,
0,garage pop,Dead Ghosts,0,
0,,Timothy Jaromir,0,
0,,OUTDROP,1,
0,,alexandre astier,0,
0,,Das Gespenst von Canterville,1,
0,,ILL NINO HED PIE,1,
0,indie psych-rock,Sky White Tiger,0,
0,,Choul'estival,1,
0,,Nicole Maguire,0,
0,,Paul Eg b2b DJ Dub,1,
0,,Giobia,0,
0,string quartet,St. Lawrence String Quartet,0,
0,ambient,William Basinski,0,
0,,Kinsey,0,
0,bay area indie,Sonny & the Sunsets,0,
0,,DJ Chuckie,0,
0,,Hofmann,0,
0,,Dr. Jürg Stüssi-Lauterburg,1,
0,,Gedenkkonzert für Boris Nemtsov,1,
0,,Boris Nemtsov's commemoration concert,1,
0,,Sphère Primaire,0,
0,library music,Joe Haider,0,
1,,"Knuth & Tucek ""Rausch",0,
0,,"Tucek ""Rausch",1,
0,,Triangels,1,
0,,Jo Elle,0,
0,,"Adriatique ""Allnightlong""",1,
0,,Abonnement 2 soirs,1,
0,,Bottle Next,0,
0,,La Bâtie Festival,1,
0,,Les Docks présentent,1,
1,,My Boy,0,
0,,Really Limited Corp,1,
0,,Follow Me,0,
0,,Nessuno,0,
1,,Leyan,0,
0,,Skoob le Roi,1,
0,minimal dub,Zadig,0,
0,,Dazee,0,
0,belly dance,Djinn,0,
0,,Deeizm,0,
0,,27. Country Night Gstaad 2015,1,
0,,Country Night Gstaad 2015,1,
0,,BASSFELD,1,
0,,das 2. Arenafestival Thun,1,
0,deep new americana,The Deslondes,0,
0,,ForeverYoung,1,
0,,HouseArrest,1,
0,,Mike Teixeira,1,
0,,Planet 105 We Love Ibiza Boat N°2,1,
0,tropical house,scheinizzl,0,
0,,Maniac (LA),1,
0,aussietronica,Hayden James,0,
0,,First-Talents  Salut Salon,1,
0,,Blackleatherblues,1,
0,,Baloise Session 2015,1,
0,,DJ Sam,0,
0,nwobhm,Defender,0,
0,,Lukas Brügger Jazz Orchestra,1,
0,,A Beatles Tribute Beatles,1,
0,,HELP !! A BEATLES TRIBUTE,1,
0,,Weihern Unplugged 2015,1,
0,,Art N' Heart,1,
0,,Help!! A Beatles Tribute,1,
0,atmospheric post-metal,Nebra,0,
0,,Vouipe,0,
0,,CARBON AIRWAYS,0,
